     collisions(billions)   time(microsecond)   total hb    interpeptide hb   hb_alpha
  ========================================================================================
         0.0000                  0.0000              0              0              0
         0.1000                  0.0049              1              0              0
         0.2000                  0.0103              1              0              1
         0.3000                  0.0163              0              0              0
         0.4000                  0.0232              2              0              0
         0.5000                  0.0314              4              2              0
         0.6005                  0.0390             11              0              5
         0.6500                  0.0422              8              0              2
         0.7481                  0.0504              8              2              4
         0.8000                  0.0539              5              0              1
         0.8952                  0.0628              7              2              1
         0.9902                  0.0694             12              0              3
         1.0000                  0.0701             12              0              7
         1.0923                  0.0800             24              9              5
         1.1848                  0.0867             19              3              9
         1.2500                  0.0915             22              2             10
         1.3387                  0.1041             53             11             19
         1.4276                  0.1110             60              8             30
         1.5167                  0.1179             38              6             15
         1.6054                  0.1247             66             12             28
         1.6943                  0.1316             60              9             16
         1.7833                  0.1385             55             25             12
         1.8722                  0.1454             69             29             12
         1.9612                  0.1522             80             31             11
         2.0499                  0.1591             46             20              9
         2.1388                  0.1660             68             39             13
         2.2277                  0.1728             87             32             27
         2.2500                  0.1746             74             33             21
         2.3390                  0.1814             89             38             22
         2.4279                  0.1883             87             20             35
         2.5169                  0.1952             93             35             28
         2.6058                  0.2020             76             42             18
         2.6945                  0.2089             76             34             24
         2.7834                  0.2158             66             25             11
         2.8723                  0.2227             57             12             14
         2.9612                  0.2295             65              9             23
         3.0502                  0.2364             59             12             22
         3.1389                  0.2433             53             10             17
         3.2276                  0.2501             50             20             11
         3.2500                  0.2519             72             20             16
         3.3390                  0.2587             61             31             12
         3.4281                  0.2656             43             22             13
         3.5169                  0.2725             70             21             28
         3.6057                  0.2794             72             16             25
         3.6945                  0.2862             66             22             16
         3.7833                  0.2931             55             15              6
         3.8722                  0.3000             64              9             29
         3.9608                  0.3069             58             25             11
         4.0497                  0.3137             74             20             21
         4.1385                  0.3206             76             17             15
         4.2273                  0.3275             85             31             15
         4.2500                  0.3292             64             17             14
         4.3390                  0.3361             50             19              7
         4.4278                  0.3430             57             14             20
         4.5167                  0.3498             62             14             14
         4.6053                  0.3567             56             12             20
         4.6937                  0.3636             58             18              8
         4.7828                  0.3705             63             17             19
         4.8716                  0.3773             68             16             30
         4.9606                  0.3842             68             43             15
         5.0497                  0.3911             70             25             25
         5.1385                  0.3979             62             20             14
         5.2275                  0.4048             49             13             14
         5.2500                  0.4066             63             25             14
         5.3389                  0.4134             55             11             13
         5.4276                  0.4203             46             19             12
         5.5165                  0.4272             65             23             20
         5.6055                  0.4340             62             24             21
         5.6942                  0.4409             77             25             22
         5.7831                  0.4478             79             14             23
         5.8719                  0.4547             61             19             20
         5.9607                  0.4615             64             22             18
         6.0497                  0.4684             79             17             26
         6.1386                  0.4753             89             34             27
         6.2277                  0.4821             68             30             13
         6.2500                  0.4839             74             25             18
         6.3388                  0.4908             74             27             23
         6.4277                  0.4976             71             37              9
         6.5167                  0.5045             83             35             26
         6.6054                  0.5114             80             34             15
         6.6944                  0.5182             66             29              4
         6.7833                  0.5251             95             31             32
         6.8724                  0.5320             66             28             20
         6.9614                  0.5389             70             28             10
         7.0503                  0.5457             64             28             16
         7.1393                  0.5526             84             31             23
         7.2284                  0.5595             83             43             16
         7.2500                  0.5611             81             38             15
         7.3391                  0.5680             65             32             11
         7.4282                  0.5749             61             23             12
         7.5170                  0.5818             74             25             18
         7.6060                  0.5886             73             20             27
         7.6950                  0.5955             60             11             27
         7.7839                  0.6024             64             21             20
         7.8730                  0.6092             75             28             20
         7.9619                  0.6161             65             21             30
         8.0508                  0.6230             55             30             12
         8.1398                  0.6299             64             12             12
         8.2285                  0.6367             51             19             12
         8.2500                  0.6384             56             24             10
         8.3389                  0.6453             75             29             19
         8.4275                  0.6521             41             13              6
         8.5163                  0.6590             54             19             14
         8.6052                  0.6659             67              6             24
         8.6940                  0.6728             82             35             16
         8.7829                  0.6796             86             35             20
         8.8718                  0.6865             65             25             11
         8.9609                  0.6934             63             28              9
         9.0499                  0.7002             77             28             15
         9.1386                  0.7071             59             16             16
         9.2274                  0.7140             67             27             16
         9.2500                  0.7157             64             27              7
         9.3389                  0.7226             79             30             24
         9.4278                  0.7295             77             24             32
         9.5169                  0.7363             55             11             18
         9.6059                  0.7432             60             17             23
         9.6947                  0.7501             84             18             35
         9.7836                  0.7570             59             23              9
         9.8725                  0.7638             69             36             16
         9.9615                  0.7707             69             32             16
        10.0505                  0.7776             86             31             18
        10.1394                  0.7845             71             35              9
        10.2282                  0.7913             63             17             14
        10.2500                  0.7930             80             31             14
        10.3390                  0.7999             59             20             10
        10.4279                  0.8068             64             12             31
        10.5168                  0.8136             48              6             14
        10.6056                  0.8205             57             15             15
        10.6943                  0.8274             75             13             25
        10.7833                  0.8342             79             31             23
        10.8721                  0.8411             55             21              8
        10.9609                  0.8480             68             31             15
        11.0499                  0.8549             68             43              4
        11.1389                  0.8617             77             49             12
        11.2278                  0.8686             93             53             14
        11.2500                  0.8703            111             64             15
        11.3389                  0.8772             96             50             15
        11.4279                  0.8841            103             62             12
        11.5169                  0.8909            110             61             22
        11.6059                  0.8978             94             51             17
        11.6950                  0.9047             84             46             14
        11.7840                  0.9116             97             35             28
        11.8731                  0.9184             65             24             18
        11.9619                  0.9253             55             30              8
        12.0508                  0.9322             72             34             13
        12.1399                  0.9390             71             33             18
        12.2287                  0.9459             62             28             15
        12.2500                  0.9476             67             29             11
        12.3389                  0.9544             70             34             11
        12.4280                  0.9613             78             39             12
        12.5172                  0.9682             81             36             14
        12.6061                  0.9750             50             20             12
        12.6950                  0.9819             79             26             22
        12.7840                  0.9888             82             36             17
        12.8729                  0.9957             85             39             26
        12.9618                  1.0025             65             27             26
        13.0507                  1.0094             81             35             10
        13.1395                  1.0163             49             13             15
        13.2282                  1.0232             56              7             12
        13.2500                  1.0248             70              3             27
        13.3387                  1.0317             43             11             13
        13.4274                  1.0386             75             15             21
        13.5166                  1.0455             47             10             13
        13.6056                  1.0523             34              7              7
        13.6940                  1.0592             48              9             21
        13.7829                  1.0661             51              8             19
        13.8717                  1.0729             63             27             13
        13.9607                  1.0798             79             22             25
        14.0497                  1.0867             67             15             18
        14.1384                  1.0936             71             21             16
        14.2275                  1.1004             77             33             17
        14.2500                  1.1022             73             40             13
        14.3389                  1.1090            103             41             24
        14.4278                  1.1159             93             58             22
        14.5169                  1.1228             63             32             15
        14.6057                  1.1297             74             32             20
        14.6945                  1.1365             80             34             26
        14.7835                  1.1434             77             33             20
        14.8723                  1.1503             79             28             10
        14.9613                  1.1571             59             24             13
        15.0503                  1.1640             74             39             12
        15.1392                  1.1709             93             51             29
        15.2282                  1.1778             64             30             12
        15.2500                  1.1795             72             35             13
        15.3389                  1.1863             61             25             21
        15.4279                  1.1932             62             26             13
        15.5167                  1.2001             66             35             20
        15.6057                  1.2069             86             32             23
        15.6948                  1.2138             80             31             23
        15.7838                  1.2207             84             22             28
        15.8729                  1.2276             95             42             20
        15.9618                  1.2344            100             58              8
        16.0508                  1.2413            107             60             12
        16.1399                  1.2482             97             48             17
        16.2291                  1.2551             86             42             17
        16.2500                  1.2567             83             41             16
        16.3390                  1.2635            108             67             10
        16.4280                  1.2704             99             56             24
        16.5170                  1.2773             56             12             17
        16.6061                  1.2842             56             15             25
        16.6948                  1.2910             58             23             10
        16.7838                  1.2979             67             21             13
        16.8728                  1.3048             61             25             14
        16.9615                  1.3116             74             30             21
        17.0506                  1.3185             81             37             23
        17.1397                  1.3254             55             15             12
        17.2288                  1.3323             53             22             13
        17.2500                  1.3339             54             16             20
        17.3388                  1.3408             84             26             26
        17.4279                  1.3476             68             20             30
        17.5170                  1.3545             58             16             13
        17.6057                  1.3614             57             12             14
        17.6945                  1.3683             37              6             13
        17.7832                  1.3751             54             22             14
        17.8721                  1.3820             66             13             20
        17.9609                  1.3889             49             13              5
        18.0497                  1.3958             45             13             10
        18.1386                  1.4026             70             21              8
        18.2273                  1.4095             67             19             18
        18.2500                  1.4112             68             27             13
        18.3389                  1.4181             59             12             26
        18.4279                  1.4250             76             26             17
        18.5167                  1.4319             76             28             22
        18.6055                  1.4387             79             29             20
        18.6942                  1.4456             62             18             19
        18.7831                  1.4525             53             12             11
        18.8720                  1.4593             58             11             22
        18.9608                  1.4662             52             13             16
        19.0497                  1.4731             49             13             19
        19.1387                  1.4800             55             21             11
