     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          10796.7480    10800.0000       -3.2520
         0.0745                  0.0061            1068.3          11172.5345    11176.5600       -4.0255
         0.1000                  0.0082            1060.3          11070.1556    11100.9600      -30.8044
         0.1714                  0.0143             913.2           9692.6028     9712.6200      -20.0172
         0.2000                  0.0168             955.3          10076.5756    10110.0600      -33.4844
         0.2684                  0.0231             785.8           8487.0489     8509.3200      -22.2711
         0.3000                  0.0260             767.3           8250.9368     8334.7200      -83.7832
         0.3649                  0.0323             713.1           7798.5359     7823.8800      -25.3441
         0.4000                  0.0357             677.1           7465.2966     7483.6800      -18.3834
         0.4612                  0.0422             538.3           6113.0973     6173.4600      -60.3627
         0.5000                  0.0463             573.9           6456.3197     6509.7000      -53.3803
         0.5599                  0.0528             527.0           6013.8334     6067.0800      -53.2466
         0.6195                  0.0593             507.5           5840.5951     5883.1200      -42.5249
         0.6500                  0.0627             553.3           6277.7418     6314.9400      -37.1982
         0.7081                  0.0693             470.2           5410.0779     5530.8600     -120.7821
         0.7661                  0.0759             487.2           5613.6001     5691.0600      -77.4599
         0.8000                  0.0797             502.9           5729.9660     5839.7400     -109.7740
         0.8567                  0.0864             431.1           5050.0786     5162.0400     -111.9614
         0.9131                  0.0931             423.2           4937.9477     5087.7000     -149.7523
         0.9696                  0.0997             445.4           5168.6445     5297.0400     -128.3955
         1.0000                  0.1033             434.9           5079.0469     5198.0400     -118.9931
         1.0548                  0.1101             398.3           4770.9215     4852.4400      -81.5185
         1.1096                  0.1168             391.7           4611.2687     4790.1600     -178.8913
         1.1646                  0.1236             387.4           4595.9996     4749.1200     -153.1204
         1.2195                  0.1303             392.4           4650.3233     4797.0000     -146.6767
         1.2500                  0.1341             379.3           4506.4033     4672.9800     -166.5767
         1.3018                  0.1410             311.5           3455.3016     4033.0800     -577.7784
         1.3538                  0.1479             289.0           3075.1419     3820.5000     -745.3581
         1.4056                  0.1548             316.6           3517.3766     4081.1400     -563.7634
         1.4574                  0.1618             310.2           3577.5976     4020.4800     -442.8824
         1.5093                  0.1687             321.5           3550.6186     4127.4000     -576.7814
         1.5613                  0.1756             294.0           3098.1420     3867.8400     -769.6980
         1.6132                  0.1825             313.6           3467.0415     4052.5200     -585.4785
         1.6651                  0.1895             311.8           3135.0060     4035.6000     -900.5940
         1.7172                  0.1964             287.7           2956.5831     3808.4400     -851.8569
