     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             400.5           7879.1028     8186.2704     -307.1676
         0.0893                  0.0043             327.3           6265.6921     7025.6592     -759.9671
         0.1783                  0.0085             337.6           6542.6245     7189.2576     -646.6331
         0.2675                  0.0128             322.7           6294.8810     6952.4784     -657.5974
         0.3567                  0.0171             316.6           6100.5500     6856.0128     -755.4628
         0.4458                  0.0214             329.9           6081.1113     7066.7856     -985.6743
         0.5349                  0.0256             326.8           6034.5138     7018.7040     -984.1902
         0.6240                  0.0299             330.1           6073.9589     7070.7168     -996.7579
         0.7133                  0.0342             316.2           5840.9996     6849.6624    -1008.6628
         0.8026                  0.0385             338.2           6436.0838     7198.3296     -762.2458
         0.8919                  0.0427             338.7           6470.1445     7206.7968     -736.6523
         0.9813                  0.0470             323.3           6254.3821     6963.0624     -708.6803
         1.0000                  0.0479             330.1           6101.0762     7069.8096     -968.7334
         1.0892                  0.0550             324.1           5894.8813     6976.0656    -1081.1843
         1.1785                  0.0595             319.6           5774.9636     6904.0944    -1129.1308
         1.2678                  0.0640             324.5           5777.1530     6981.2064    -1204.0534
         1.3570                  0.0685             331.9           5960.8695     7098.2352    -1137.3657
         1.4465                  0.0730             326.8           5762.9218     7017.4944    -1254.5726
         1.5355                  0.0775             323.4           6247.6962     6963.9696     -716.2734
         1.6248                  0.0820             322.1           5970.3260     6943.7088     -973.3828
         1.7141                  0.0865             316.4           6034.9066     6852.6864     -817.7798
         1.8035                  0.0910             323.5           5932.0255     6966.3888    -1034.3633
         1.8930                  0.0955             319.2           5943.0546     6896.8368     -953.7822
         1.9821                  0.1000             320.6           5863.7635     6920.4240    -1056.6605
         2.0000                  0.1009             317.5           5849.1404     6870.2256    -1021.0852
         2.0893                  0.1118             320.0           5978.7088     6909.8400     -931.1312
         2.1786                  0.1166             324.4           5718.2622     6980.2992    -1262.0370
         2.2681                  0.1214             327.4           5745.8911     7027.1712    -1281.2801
         2.3573                  0.1262             319.6           5470.2024     6903.7920    -1433.5896
         2.4468                  0.1309             332.6           5534.9294     7109.4240    -1574.4946
         2.5361                  0.1357             309.5           5282.1314     6743.5200    -1461.3886
         2.6254                  0.1405             331.0           5567.6871     7084.3248    -1516.6377
         2.7149                  0.1453             313.4           5278.7175     6804.9072    -1526.1897
         2.8042                  0.1500             324.9           5954.3437     6988.7664    -1034.4227
         2.8935                  0.1548             319.0           5773.1862     6894.7200    -1121.5338
         2.9829                  0.1596             321.0           5770.6698     6925.5648    -1154.8950
         3.0000                  0.1605             329.8           6085.2488     7066.1808     -980.9320
         3.0896                  0.1767             323.3           5929.4428     6963.3648    -1033.9220
         3.1787                  0.1818             322.1           5657.5570     6943.1040    -1285.5470
         3.2681                  0.1869             330.6           5837.1814     7077.9744    -1240.7930
         3.3574                  0.1920             319.3           5889.8355     6899.5584    -1009.7229
         3.4469                  0.1971             322.2           5788.2597     6944.6160    -1156.3563
         3.5360                  0.2022             318.7           6088.9763     6889.8816     -800.9053
         3.6252                  0.2073             332.7           6293.9728     7112.4480     -818.4752
         3.7145                  0.2124             324.8           6032.9841     6986.6496     -953.6655
         3.8038                  0.2176             330.3           5983.4695     7073.7408    -1090.2713
         3.8931                  0.2227             316.0           6044.0046     6846.6384     -802.6338
         3.9825                  0.2278             332.5           6070.9218     7108.8192    -1037.8974
         4.0000                  0.2288             322.7           6143.0443     6952.7808     -809.7365
         4.0893                  0.2526             323.9           5876.2834     6971.8320    -1095.5486
