     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             398.0           8036.6718     8146.3536     -109.6818
         0.0889                  0.0043             326.6           6419.3301     7015.6800     -596.3499
         0.1778                  0.0085             319.3           5937.2022     6898.9536     -961.7514
         0.2667                  0.0128             327.4           5885.9353     7027.1712    -1141.2359
         0.3558                  0.0171             329.5           5908.4164     7060.7376    -1152.3212
         0.4450                  0.0214             323.2           5892.2298     6960.3408    -1068.1110
         0.5339                  0.0256             318.5           5664.2068     6887.1600    -1222.9532
         0.6231                  0.0299             337.3           5865.8869     7184.7216    -1318.8347
         0.7125                  0.0342             318.9           5691.1435     6893.5104    -1202.3669
         0.8016                  0.0385             320.5           5652.8301     6918.0048    -1265.1747
         0.8907                  0.0427             329.3           5755.0123     7058.0160    -1303.0037
         0.9797                  0.0470             317.1           5594.7498     6864.4800    -1269.7302
         1.0000                  0.0480             332.3           5758.1753     7104.8880    -1346.7127
         1.0892                  0.0551             320.5           5798.4174     6918.9120    -1120.4946
         1.1782                  0.0596             315.3           6073.2518     6836.3568     -763.1050
         1.2674                  0.0641             325.2           5781.5122     6992.0928    -1210.5806
         1.3564                  0.0686             323.3           5831.6882     6961.8528    -1130.1646
         1.4455                  0.0731             310.4           5615.4164     6758.6400    -1143.2236
         1.5344                  0.0776             326.6           5898.0105     7015.0752    -1117.0647
         1.6236                  0.0821             327.1           6170.9206     7022.3328     -851.4122
         1.7126                  0.0866             324.5           6141.9843     6980.9040     -838.9197
         1.8015                  0.0911             335.3           6277.3618     7153.5744     -876.2126
         1.8907                  0.0956             333.6           5894.7469     7125.1488    -1230.4019
         1.9798                  0.1001             318.8           5603.2089     6891.9984    -1288.7895
         2.0000                  0.1011             311.0           5581.4425     6767.1072    -1185.6647
         2.0890                  0.1120             323.9           5854.7734     6971.5296    -1116.7562
         2.1781                  0.1168             334.6           5809.8948     7142.0832    -1332.1884
         2.2670                  0.1216             337.0           5922.5108     7179.5808    -1257.0700
         2.3562                  0.1264             323.5           5910.2931     6966.3888    -1056.0957
         2.4453                  0.1311             323.3           5966.6215     6963.3648     -996.7433
         2.5344                  0.1359             330.3           6379.4935     7073.4384     -693.9449
         2.6235                  0.1407             322.2           5881.1342     6945.8256    -1064.6914
         2.7126                  0.1455             321.4           5958.1133     6932.5200     -974.4067
         2.8016                  0.1503             335.8           6143.7785     7160.5296    -1016.7511
         2.8907                  0.1550             328.7           5831.6244     7048.0368    -1216.4124
         2.9796                  0.1598             314.8           5854.3399     6827.5872     -973.2473
         3.0000                  0.1609             335.0           6218.6703     7147.5264     -928.8561
         3.0889                  0.1771             316.0           5987.6407     6846.6384     -858.9977
         3.1780                  0.1822             332.1           6198.3245     7102.7712     -904.4467
         3.2667                  0.1873             311.7           5915.5860     6778.5984     -863.0124
         3.3557                  0.1924             327.2           6081.5113     7024.4496     -942.9383
         3.4447                  0.1975             343.8           6189.8109     7287.2352    -1097.4243
         3.5336                  0.2026             324.3           6124.7060     6977.8800     -853.1740
         3.6227                  0.2078             325.7           6218.1339     7000.8624     -782.7285
         3.7114                  0.2129             323.6           5837.5261     6966.9936    -1129.4675
         3.8005                  0.2180             332.9           5941.2439     7114.8672    -1173.6233
         3.8892                  0.2231             347.7           6526.8188     7350.1344     -823.3156
         3.9785                  0.2282             340.1           6344.9171     7228.5696     -883.6525
         4.0000                  0.2294             337.9           6155.9391     7194.7008    -1038.7617
         4.0887                  0.2533             329.7           6203.1373     7063.7616     -860.6243
         4.1777                  0.2588             322.4           5944.3875     6948.2448    -1003.8573
