     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             385.8          10896.3789    11268.2052     -371.8263
         0.1273                  0.0043             331.7           9069.0315    10052.8344     -983.8029
         0.2543                  0.0085             310.2           8654.0061     9568.3140     -914.3079
         0.3812                  0.0128             334.3           8982.1282    10111.0968    -1128.9686
         0.5083                  0.0171             316.4           8939.3970     9707.9724     -768.5754
         0.6355                  0.0214             324.5           8623.2477     9889.6140    -1266.3663
         0.7626                  0.0256             325.8           8882.6204     9918.7452    -1036.1248
         0.8894                  0.0299             321.7           8746.1101     9827.4960    -1081.3859
         1.0000                  0.0336             319.8           8818.6522     9784.6560     -966.0038
         1.1272                  0.0399             330.3           9017.9533    10021.5612    -1003.6079
         1.2540                  0.0444             317.4           8604.2261     9731.5344    -1127.3083
         1.3810                  0.0490             317.7           8904.1868     9738.8172     -834.6304
         1.5081                  0.0535             316.1           8403.3325     9701.5464    -1298.2139
         1.6353                  0.0580             320.2           8396.5447     9794.5092    -1397.9645
         1.7624                  0.0625             318.2           8413.9196     9749.9556    -1336.0360
         1.8895                  0.0670             325.8           8596.2384     9920.8872    -1324.6488
         2.0000                  0.0709             332.9           8823.7343    10080.2520    -1256.5177
         2.1272                  0.0800             330.9           8840.4302    10033.9848    -1193.5546
         2.2547                  0.0847             321.4           8475.3246     9820.6416    -1345.3170
         2.3820                  0.0895             316.1           8598.1637     9702.8316    -1104.6679
         2.5093                  0.0943             327.3           8537.5427     9953.8740    -1416.3313
         2.6364                  0.0991             331.2           8577.0268    10040.4108    -1463.3840
         2.7636                  0.1038             330.8           8420.7130    10031.8428    -1611.1298
         2.8907                  0.1086             323.5           8641.2833     9868.1940    -1226.9107
         3.0000                  0.1127             326.3           8828.8405     9931.1688    -1102.3283
         3.1273                  0.1256             322.9           8952.8650     9854.0568     -901.1918
         3.2543                  0.1307             329.7           9067.2740    10007.8524     -940.5784
         3.3814                  0.1358             328.7           9088.1074     9985.5756     -897.4682
         3.5085                  0.1409             336.2           9284.3026    10152.6516     -868.3490
         3.6356                  0.1461             336.0           8987.9765    10148.3676    -1160.3911
         3.7627                  0.1512             328.6           8672.1924     9983.0052    -1310.8128
         3.8899                  0.1563             327.0           8954.4685     9945.7344     -991.2659
         4.0000                  0.1607             318.1           8968.3186     9746.1000     -777.7814
         4.1270                  0.1791             309.7           8855.8750     9557.6040     -701.7290
         4.2541                  0.1846             328.1           8923.7378     9971.4384    -1047.7006
         4.3810                  0.1901             345.5           9378.4125    10362.5676     -984.1551
         4.5077                  0.1956             326.5           8962.1009     9935.8812     -973.7803
         4.6347                  0.2012             308.8           8378.3520     9537.0408    -1158.6888
         4.7620                  0.2067             329.2           8832.2878     9995.8572    -1163.5694
         4.8893                  0.2122             325.1           9095.7919     9904.1796     -808.3877
         5.0000                  0.2170             338.4           8952.5720    10202.7744    -1250.2024
         5.1272                  0.2303             323.5           8655.1004     9868.6224    -1213.5220
         5.2542                  0.2360             332.6           8884.4054    10073.3976    -1188.9922
         5.3817                  0.2417             330.0           8895.3097    10013.4216    -1118.1119
         5.5087                  0.2474             315.0           8556.7226     9677.9844    -1121.2618
         5.6361                  0.2532             312.8           8688.2191     9627.8616     -939.6425
         5.7630                  0.2589             321.7           8873.4353     9827.4960     -954.0607
         5.8900                  0.2646             325.3           8957.9705     9908.8920     -950.9215
         6.0000                  0.2695             321.7           8718.8504     9827.4960    -1108.6456
         6.1270                  0.2856             327.0           8851.3202     9945.7344    -1094.4142
         6.2541                  0.2915             319.9           8591.6375     9787.6548    -1196.0173
         6.3810                  0.2975             332.7           8831.8192    10074.6828    -1242.8636
         6.5084                  0.3034             324.7           8733.0372     9895.1832    -1162.1460
         6.6356                  0.3093             327.3           8544.2748     9953.4456    -1409.1708
         6.7627                  0.3152             327.3           8503.4178     9954.3024    -1450.8846
         6.8899                  0.3212             330.2           8666.8732    10018.1340    -1351.2608
         7.0000                  0.3263             323.9           8659.0343     9876.7620    -1217.7277
         7.1269                  0.3458             328.9           9098.0175     9989.4312     -891.4137
         7.2541                  0.3520             327.9           8664.2349     9967.5828    -1303.3479
         7.3811                  0.3581             323.3           8494.2365     9863.9100    -1369.6735
         7.5083                  0.3643             335.1           8591.2605    10127.8044    -1536.5439
         7.6357                  0.3705             331.8           8889.9283    10054.9764    -1165.0481
         7.7631                  0.3766             337.8           8746.4811    10190.3508    -1443.8697
         7.8902                  0.3828             310.8           7904.0371     9583.7364    -1679.6993
         8.0000                  0.3881             327.0           8835.8783     9947.0196    -1111.1413
         8.1272                  0.4118             327.3           8751.7521     9953.8740    -1202.1219
         8.2542                  0.4183             327.5           8515.6381     9959.0148    -1443.3767
         8.3813                  0.4247             321.2           8527.5425     9816.3576    -1288.8151
         8.5086                  0.4311             330.4           8841.8741    10023.7032    -1181.8291
         8.6357                  0.4376             332.8           9133.3812    10078.1100     -944.7288
         8.7625                  0.4440             328.3           8955.7769     9977.0076    -1021.2307
         8.8892                  0.4505             334.5           8931.0729    10114.9524    -1183.8795
         9.0000                  0.4561             322.4           9039.9815     9842.9184     -802.9369
         9.1271                  0.4943             323.3           8632.8908     9863.0532    -1230.1624
         9.2543                  0.5012             322.4           8308.7738     9842.9184    -1534.1446
         9.3816                  0.5081             305.5           8272.0118     9462.9276    -1190.9158
         9.5086                  0.5150             316.9           8899.0040     9719.5392     -820.5352
         9.6358                  0.5218             333.0           9065.1590    10080.6804    -1015.5214
         9.7628                  0.5287             316.5           8617.6814     9710.1144    -1092.4330
         9.8902                  0.5356             329.0           8973.7782     9990.7164    -1016.9382
        10.0000                  0.5416             323.8           8599.3780     9875.4768    -1276.0988
        10.1271                  0.5485             326.5           8696.7344     9936.3096    -1239.5752
        10.2543                  0.5553             330.7           8712.1076    10029.2724    -1317.1648
        10.3816                  0.5622             338.2           8741.8574    10198.0620    -1456.2046
        10.5090                  0.5691             325.3           8527.0936     9909.3204    -1382.2268
        10.6360                  0.5760             327.9           8802.8835     9966.7260    -1163.8425
        10.7630                  0.5829             319.6           8676.9699     9779.9436    -1102.9737
        10.8901                  0.5898             329.4           8959.2924    10001.4264    -1042.1340
        11.0000                  0.5957             327.5           8688.6326     9957.3012    -1268.6686
        11.1268                  0.6026             314.8           8458.2303     9673.2720    -1215.0417
        11.2538                  0.6095             317.2           8681.8985     9725.9652    -1044.0667
        11.3809                  0.6164             329.5           8870.7433    10003.9968    -1133.2535
        11.5079                  0.6232             330.5           9026.8660    10025.4168     -998.5508
        11.6351                  0.6301             319.5           8689.7303     9778.6584    -1088.9281
        11.7620                  0.6370             321.4           8698.6909     9821.9268    -1123.2359
        11.8895                  0.6439             323.0           8290.8947     9856.1988    -1565.3041
        12.0000                  0.6499             313.2           8497.3751     9636.0012    -1138.6261
        12.1273                  0.6568             331.0           8835.1865    10036.1268    -1200.9403
        12.2545                  0.6637             327.7           8948.5971     9962.0136    -1013.4165
        12.3816                  0.6705             335.5           9105.7986    10136.8008    -1031.0022
        12.5085                  0.6774             329.7           8994.6824    10008.2808    -1013.5984
        12.6355                  0.6843             334.6           9150.7206    10117.9512     -967.2306
        12.7628                  0.6912             324.8           9015.1519     9898.1820     -883.0301
        12.8901                  0.6981             324.7           8999.5447     9894.3264     -894.7817
        13.0000                  0.7040             325.1           8957.7614     9903.3228     -945.5614
        13.1270                  0.7109             335.5           9296.8284    10137.2292     -840.4008
