     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             389.8          11021.9557    11356.4556     -334.4999
         0.1270                  0.0043             322.7           8911.7128     9850.6296     -938.9168
         0.2537                  0.0085             314.2           8412.9243     9659.9916    -1247.0673
         0.3804                  0.0128             321.5           8790.0909     9823.6404    -1033.5495
         0.5073                  0.0171             325.8           8878.5931     9920.0304    -1041.4373
         0.6341                  0.0214             321.8           8787.4893     9829.6380    -1042.1487
         0.7610                  0.0256             330.2           8775.6817    10018.1340    -1242.4523
         0.8879                  0.0299             318.1           8779.5717     9746.1000     -966.5283
         1.0000                  0.0337             323.1           8687.4722     9858.3408    -1170.8686
         1.1267                  0.0400             321.3           8395.4432     9819.7848    -1424.3416
         1.2533                  0.0445             309.8           8406.3755     9559.3176    -1152.9421
         1.3804                  0.0490             325.6           8887.2074     9915.7464    -1028.5390
         1.5072                  0.0535             327.8           8818.2201     9965.0124    -1146.7923
         1.6340                  0.0580             319.0           8311.4343     9767.9484    -1456.5141
         1.7607                  0.0625             319.2           8287.9125     9770.5188    -1482.6063
         1.8874                  0.0670             325.7           8755.4755     9917.0316    -1161.5561
         2.0000                  0.0710             327.9           8492.2241     9967.1544    -1474.9303
         2.1270                  0.0801             321.5           9014.9644     9822.3552     -807.3908
         2.2537                  0.0849             325.2           8759.4230     9906.7500    -1147.3270
         2.3804                  0.0897             328.9           8922.2985     9989.0028    -1066.7043
         2.5071                  0.0944             323.2           8326.2451     9862.1964    -1535.9513
         2.6337                  0.0992             321.7           8682.4251     9827.9244    -1145.4993
         2.7607                  0.1040             314.5           8722.3267     9666.8460     -944.5193
         2.8877                  0.1088             319.6           8768.5277     9779.5152    -1010.9875
         3.0000                  0.1130             315.1           8730.1173     9678.4128     -948.2955
         3.1269                  0.1259             319.4           8770.4524     9775.2312    -1004.7788
         3.2537                  0.1310             328.5           8731.6058     9980.8632    -1249.2574
         3.3803                  0.1361             330.7           9099.2075    10030.5576     -931.3501
         3.5073                  0.1412             323.4           9030.0766     9866.0520     -835.9754
         3.6343                  0.1463             329.8           8659.3703    10009.9944    -1350.6241
